steam_id,recommendationid,author_steamid,playtime_forever,review,voted_up,votes_up,timestamp_created
444940,207711335,76561198096017729,168,el kaka,False,4,1761566872
444940,206952881,76561198272902337,25,"The game crashed mid-game. What's worse, I was getting close to the end",False,0,1760732364
444940,187429151,76561199823379718,29,ll,True,0,1738981642
444940,166106052,76561198848912404,10,broken,False,1,1716736146
444940,82337143,76561198241402054,186,Polecam.,True,0,1607942677
444940,50875378,76561198379846667,1373,Git,True,0,1558915035
444940,23234778,76561198262315756,194,"Bardzo dobra gra. Może ma trochę nie przekonującą grafikę ale mówię wam 5 minut gry a już się w połowie uzależnicie. :D
Polecam!",True,4,1464358525
2357570,227670134,76561198218515395,8013,"♥♥♥♥♥♥♥ in support. Got banned for 2 weeks because of ""abusive use of chat"" (told teamates to lock the ♥♥♥♥ in, because tetraplegics would play better than them""",False,0,1781125878
2357570,227668792,76561199101686667,9666,u,True,0,1781124551
2357570,227666997,76561199327062904,389,mam 6 godzin gry ale moge powiedziec ze gierka zdecydowanie lepsza od counterstrike 2 i valoranta,True,0,1781122903
2357570,227658503,76561198130845743,476,wrecking ball makes me ♥♥♥ too much,False,0,1781115736
2357570,227648796,76561198188634025,478,♥♥♥♥ blizzard support,False,0,1781106934
2357570,227593186,76561198052610797,12,"My computer crashes if I turn it on via Steam, on Battle.net, no problems for over 500 hours..As for the game itself, after all these years it's hard to say whether I would recommend it.",False,0,1781037943
2357570,227588102,76561199198654338,18132,Gówno ♥♥♥♥♥♥ Marvel Rivals lepsze tam przynajmniej kobiety jakoś wyglądają a w  tym chujstwie jedynie kto ma cyce to mauga. Nie polecam proszę przenieście się na marvel rivals i tyle dziękuje za uwage.,False,0,1781033244
2357570,227573292,76561199112137830,28993,"serwery to żart, gra sama z siebie jest w stanie cie wyrzucić mimo tego, że połączenie internetowe jest dobre. nie biorą pod uwage tego, że to ich wina, i są w stanie dać ci bana za ich błędy, mam szczerą nadzieje, że coś z tym zrobią bo jak nie to jest to nie do grania XDDD",False,1,1781020298
2357570,227570836,76561199240733039,9602,Bardzo polecam! Moją ulubioną postacią jest Junker Queen. Lubie machać siekierą i jej styl gry jest bardzo spełniający. 10/10,True,0,1781018241
2357570,227517386,76561198929600820,11834,★ ★ ★ ★ ★,True,0,1780952418
2357570,227508540,76561198769646357,601, bvnjiiiiiiiiiiiiiiiiiiiiiiiiiiijvukhygbnv7j8fhny,True,0,1780944832
2357570,227506956,76561198931248504,399,gówn0 j3b@ne każą dać chinole pierd0l0ne numer telefonu polecam twórcy wsadzić se dynamit w dupe i podpalić żeby nie wygenerował więcej takiego guwn@ gra od hindusów stworzona za 3 zł w 2 dni byłaby lepsza od tego chujstwa twórcy porno starają się bardziej niż deweloperzy tej sklejki kodów które śmią nazywajać grą,False,0,1780943529
