,steam_id,name,all-time_peak,total_reviews,total_positive,total_negative,percent_positive,review_score,review_score_desc,decile,review_label
156,1811260,EA SPORTS™ FIFA 23,110878,7392.0,4796.0,2596.0,64.88095238095238,5.0,Mieszane,1,5: Mieszane
405,1313860,EA SPORTS™ FIFA 21 ,44388,2625.0,1956.0,669.0,74.5142857142857,6.0,W większości pozytywne,1,6: W większości pozytywne
411,1501750,Lords of the Fallen,43075,830.0,588.0,242.0,70.8433734939759,6.0,W większości pozytywne,1,6: W większości pozytywne
1027,844870,KurtzPel,11937,521.0,360.0,161.0,69.09788867562379,5.0,Mieszane,1,5: Mieszane
25,3678970,TBH: Task Bar Hero,476577,119.0,57.0,62.0,47.89915966386555,5.0,Mieszane,1,5: Mieszane
375,360430,Mafia III: Definitive Edition,47822,2487.0,1704.0,783.0,68.51628468033776,5.0,Mieszane,1,5: Mieszane
576,285190,"Warhammer 40,000: Dawn of War III",25676,431.0,231.0,200.0,53.596287703016245,5.0,Mieszane,1,5: Mieszane
1409,3478870,GeoGuessr Steam Edition,7363,1591.0,1064.0,527.0,66.87617850408549,5.0,Mieszane,1,5: Mieszane
242,3450310,Europa Universalis V,77320,813.0,588.0,225.0,72.32472324723247,6.0,W większości pozytywne,1,6: W większości pozytywne
506,1225330,NBA 2K21,31826,255.0,183.0,72.0,71.76470588235294,6.0,W większości pozytywne,1,6: W większości pozytywne
259,2479810,Gray Zone Warfare,72548,1121.0,846.0,275.0,75.46833184656556,6.0,W większości pozytywne,2,6: W większości pozytywne
536,1676840,For The King II,28528,144.0,115.0,29.0,79.86111111111111,6.0,W większości pozytywne,2,6: W większości pozytywne
592,2524890,Pixel Gun 3D: PC Edition,25014,1375.0,1062.0,313.0,77.23636363636363,6.0,W większości pozytywne,2,6: W większości pozytywne
1112,485510,Nioh: Complete Edition,10649,334.0,262.0,72.0,78.44311377245509,6.0,W większości pozytywne,2,6: W większości pozytywne
18,2694490,Path of Exile 2,578569,6681.0,5443.0,1238.0,81.46983984433469,8.0,Bardzo pozytywne,2,8: Bardzo pozytywne
476,1941540,Mafia: The Old Country,35247,867.0,684.0,183.0,78.89273356401384,6.0,W większości pozytywne,2,6: W większości pozytywne
781,24200,DC Universe Online,17701,237.0,191.0,46.0,80.59071729957806,8.0,Bardzo pozytywne,2,8: Bardzo pozytywne
1347,3035570,Assassin's Creed Mirage,7870,328.0,264.0,64.0,80.48780487804879,8.0,Bardzo pozytywne,2,8: Bardzo pozytywne
353,1149460,Icarus,52501,619.0,500.0,119.0,80.77544426494345,8.0,Bardzo pozytywne,2,8: Bardzo pozytywne
692,1259970,eFootball PES 2021 SEASON UPDATE,20674,494.0,376.0,118.0,76.11336032388664,6.0,W większości pozytywne,2,6: W większości pozytywne
275,261640,Borderlands: The Pre-Sequel,68238,627.0,527.0,100.0,84.05103668261563,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
514,858820,Tribes of Midgard,30930,273.0,224.0,49.0,82.05128205128204,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
532,359320,Elite Dangerous,28923,1334.0,1139.0,195.0,85.38230884557721,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
1003,884660,CRSED: Cuisine Royale,12266,1120.0,948.0,172.0,84.64285714285714,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
72,1446780,MONSTER HUNTER RISE,231360,407.0,340.0,67.0,83.53808353808354,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
449,1282270,Strinova,38043,355.0,294.0,61.0,82.8169014084507,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
681,1961460,Project Playtime,21105,1634.0,1357.0,277.0,83.04773561811506,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
1456,382310,Eco,6964,102.0,84.0,18.0,82.35294117647058,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
364,2661300,Grounded 2,49836,253.0,214.0,39.0,84.58498023715416,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
594,1874880,Arma Reforger,24907,916.0,761.0,155.0,83.07860262008734,8.0,Bardzo pozytywne,3,8: Bardzo pozytywne
185,379430,Kingdom Come: Deliverance,96069,4937.0,4377.0,560.0,88.65707919789347,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
691,431240,Golf With Your Friends,20750,2106.0,1842.0,264.0,87.46438746438746,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
710,933110,Age of Empires III: Definitive Edition,20146,723.0,638.0,85.0,88.24343015214384,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
1290,1096530,Solasta: Crown of the Magister,8291,182.0,161.0,21.0,88.46153846153845,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
45,1085660,Destiny 2,316750,6538.0,5633.0,905.0,86.15784643621903,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
613,1407200,World of Tanks,24172,6341.0,5457.0,884.0,86.05898123324397,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
942,245620,Tropico 5,13483,315.0,277.0,38.0,87.93650793650794,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
1537,3059070,The Headliners,6315,108.0,94.0,14.0,87.03703703703704,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
439,774861,Project Winter,38794,158.0,137.0,21.0,86.70886075949366,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
799,1276390,Bloons TD Battles 2,17137,2124.0,1901.0,223.0,89.50094161958569,8.0,Bardzo pozytywne,4,8: Bardzo pozytywne
151,364360,Total War: WARHAMMER,113019,1059.0,957.0,102.0,90.3682719546742,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
523,637650,FINAL FANTASY XV WINDOWS EDITION,29498,349.0,317.0,32.0,90.83094555873924,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
584,1034140,Subverse,25318,104.0,95.0,9.0,91.34615384615384,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
1225,2114740,Blasphemous 2,9055,185.0,166.0,19.0,89.72972972972974,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
46,2622380,ELDEN RING NIGHTREIGN,313593,2171.0,1949.0,222.0,89.7742975587287,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
461,1888930,The Last of Us™ Part I,36496,2460.0,2234.0,226.0,90.8130081300813,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
831,612880,Wolfenstein II: The New Colossus,16141,1668.0,1511.0,157.0,90.58752997601918,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
1532,1577120,The Quarry,6349,848.0,776.0,72.0,91.50943396226415,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
346,392110,ENDLESS Space™ 2,53435,434.0,395.0,39.0,91.01382488479264,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
704,815370,Green Hell,20259,3981.0,3643.0,338.0,91.50967093695051,8.0,Bardzo pozytywne,5,8: Bardzo pozytywne
247,1782210,Crab Game,75967,7800.0,7253.0,547.0,92.98717948717947,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
602,480490,Prey,24594,840.0,773.0,67.0,92.02380952380952,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
631,8980,Borderlands GOTY,23655,669.0,615.0,54.0,91.92825112107624,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
1177,2140020,Stronghold: Definitive Edition,9672,1223.0,1122.0,101.0,91.74161896974653,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
38,863550,HITMAN™ 2,361001,1754.0,1623.0,131.0,92.53135689851769,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
550,208650,Batman™: Arkham Knight,27406,3100.0,2873.0,227.0,92.6774193548387,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
794,207140,SpeedRunners,17212,782.0,728.0,54.0,93.09462915601024,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
1480,394510,HELLDIVERS™,6744,311.0,290.0,21.0,93.2475884244373,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
416,588430,Fallout Shelter,42656,2410.0,2225.0,185.0,92.32365145228216,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
728,1465460,Infection Free Zone,19380,412.0,378.0,34.0,91.747572815534,8.0,Bardzo pozytywne,6,8: Bardzo pozytywne
